Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
203777:3108,11,813949.710548,[103-113],807723.009563
203830:3109,101,6436063.15661,[82-182],6289700.38538
203832:3109,11,667929.680559,[1-11],602306.483086
203833:3109,126,7214176.46751,"[1-70], [73-128]",7083398.25497
203834:3109,40,2156191.63841,[1-40],2104512.55811
203835:3109,356,16998526.6753,"[1-70], [73-358]",16818276.0363
203853:3110,101,11630398.9289,[122-222],11493625.1432
203894:3113,1232,101632435.506,"[82-272], [275-477], [480-902], [905-1319]",100638624.753
203909:3114,298,41082316.1775,"[79-113], [116-117], [120-140], [143-382]",39654545.3413
203912:3114,1311,105572589.06,"[1-306], [308-566], [569-609], [611-698], [701-820], [823-865], [867-1033], [1035-1321]",104586123.982
203987:3121,1007,83720271.0309,"[1-9], [12-241], [243-339], [342-781], [784-1014]",82966718.6912
203992:3121,15,939862.746182,[1-15],817814.600751
203994:3121,419,23529772.3742,"[1-56], [59-136], [139-304], [306-342], [344-425]",23272801.0007
204100:3124,23,3212252.39525,[117-139],3050275.62292
204101:3124,74,9784396.95129,[1-74],9467220.66846
204113:3126,597,77763315.204,"[82-96], [98-102], [105-127], [129-191], [194-258], [261-327], [329-388], [390-400], [402-583], [585-690]",76174381.0178
204114:3126,358,33918917.1797,[1-358],33496253.428
204238:3128,31,4464911.45866,"[23-52], [55-55]",4347137.72192
204250:3129,697,80741197.5782,"[92-118], [121-177], [179-285], [287-336], [339-400], [403-521], [524-543], [546-682], [684-801]",79421426.1603
204511:3131,56,5916313.23884,[1-56],5860231.72632
204541:3133,194,29364980.4189,"[5-39], [42-42], [44-139], [142-149], [151-204]",27871892.5313
204544:3133,419,47797142.5967,"[1-11], [13-93], [96-195], [197-224], [226-334], [337-426]",46889569.8565
204552:3133,9,631587.427873,[1-9],577342.919554
204553:3133,98,6683709.97766,"[1-51], [53-60], [63-101]",6592167.82907
204554:3133,507,30309810.7014,"[1-5], [7-221], [224-455], [458-470], [472-481], [483-514]",30022266.3695
204555:3133,333,16789218.9851,"[1-329], [331-334]",16702081.7997
204563:3134,468,60255480.2085,"[91-99], [102-178], [180-219], [222-229], [231-364], [366-366], [369-470], [473-524], [527-571]",58999924.5332
204564:3134,1261,104340361.332,"[1-84], [87-89], [92-159], [161-187], [190-191], [193-293], [296-315], [317-340], [343-427], [429-434], [437-735], [737-855], [858-1206], [1209-1248], [1251-1284]",103221834.008
204565:3134,48,2889151.22794,[1-48],2839336.76794
204566:3134,12,709037.486909,[1-12],663639.896415
204567:3134,38,2210732.52199,[1-38],2195714.24169
204576:3135,251,36127468.8312,"[49-192], [195-301]",34192329.2452
204577:3135,1265,117184666.568,"[1-46], [49-64], [67-105], [107-170], [173-181], [183-193], [196-653], [656-669], [671-740], [742-913], [915-1057], [1059-1115], [1117-1282]",115942448.154
204599:3138,248,36477663.3804,"[73-83], [85-94], [97-121], [124-125], [128-173], [175-240], [243-245], [248-264], [266-292], [294-334]",35474119.168
